2026-06-01T06:15:23.072Z,SUI/USDC,BUY,0.88420000,14.38632000,0.00,25.87
2026-06-01T06:15:51.959Z,SUI/USDC,SELL,0.88360000,14.30000000,-0.08,38.50
2026-06-01T06:21:51.753Z,SUI/USDC,BUY,0.88280000,14.37273500,0.00,25.86
2026-06-01T06:23:51.955Z,SUI/USDC,SELL,0.88220000,14.30000000,-0.07,38.46
2026-06-01T06:39:34.349Z,SUI/USDC,BUY,0.87820000,14.45905500,0.00,25.82
2026-06-01T06:39:51.963Z,SUI/USDC,SELL,0.87870000,14.40000000,-0.05,38.46
2026-06-01T06:41:55.779Z,SUI/USDC,BUY,0.87840000,14.44537500,0.00,25.81
2026-06-01T15:44:41.222Z,JUP/USDC,BUY,0.18860000,58.29046500,0.00,14.82
2026-06-02T14:22:41.288Z,SUI/USDC,SELL,0.83360000,14.40000000,-0.69,26.81
2026-06-04T01:16:42.199Z,JUP/USDC,SELL,0.18850000,58.20000000,-0.02,192.04
2026-06-07T12:00:35.749Z,TRX/USDC,BUY,0.32890000,170.70000000,0.00,135.89
2026-06-08T00:00:35.467Z,BNB/USDC,BUY,603.98000000,0.05200000,0.00,104.49
2026-06-12T12:00:35.525Z,AVAX/USDC,BUY,6.62300000,3.34000000,0.00,82.37
2026-06-17T00:00:35.550Z,BNB/USDC,SELL,604.73000000,0.05100000,-0.57,113.21
2026-06-18T04:46:54.167Z,AVAX/USDC,SELL,6.62800000,3.34000000,0.02,135.35
2026-06-19T00:00:35.507Z,TRX/USDC,SELL,0.32040000,170.50000000,-1.51,189.97
