timestamp,symbol,side,price,qty,pnl,balance
2026-05-19T10:41:37.432Z,BTC/USDT,BUY,139.00000000,0.71942446,0.00,900.00
2026-05-19T11:12:30.796Z,BTC/USDT,BUY,100.00000000,1.00000000,0.00,900.00
2026-05-19T11:12:30.798Z,BTC/USDT,SELL,104.00000000,1.00000000,4.00,1004.00
2026-05-20T11:08:27.199Z,MTL/USDT,BUY,0.29000000,5184.00000000,0.00,8496.64
2026-05-20T11:08:38.288Z,MTL/USDT,SELL,0.28800000,5184.00000000,-10.37,9988.14
2026-05-20T11:12:08.675Z,GMX/USDT,BUY,6.67000000,216.00000000,0.00,8547.42
2026-05-20T11:12:20.229Z,GMX/USDT,SELL,6.65000000,216.00000000,-4.32,9982.38
2026-05-20T11:23:20.672Z,XRP/USDT,BUY,1.36950000,1088.00000000,0.00,8492.37
2026-05-20T11:23:32.296Z,XRP/USDT,SELL,1.36940000,1088.00000000,-0.11,9980.78
2026-05-20T11:35:18.072Z,GMX/USDT,BUY,6.69718750,224.00000000,0.00,8480.61
2026-05-20T11:35:29.125Z,GMX/USDT,SELL,6.68000000,224.00000000,-3.85,9975.44
2026-05-20T11:38:48.251Z,LINK/USDT,BUY,9.58000000,152.00000000,0.00,8519.28
2026-05-20T11:38:59.851Z,LINK/USDT,SELL,9.57000000,152.00000000,-1.52,9972.46
2026-05-20T11:58:38.737Z,TIA/USDT,BUY,0.39680000,3736.00000000,0.00,8490.02
2026-05-20T11:58:50.281Z,TIA/USDT,SELL,0.39680000,3736.00000000,0.00,9970.98
2026-05-20T13:13:13.965Z,LTC/USDT,BUY,54.07000000,24.00000000,0.00,8673.30
2026-05-20T13:13:25.148Z,LTC/USDT,SELL,54.05000000,24.00000000,-0.48,9969.20
2026-05-20T14:06:25.069Z,SFP/USDT,BUY,0.27370000,5448.00000000,0.00,8478.09
2026-05-20T14:06:36.234Z,SFP/USDT,SELL,0.27340000,5448.00000000,-1.64,9966.08
2026-05-20T14:42:05.147Z,MTL/USDT,BUY,0.28700000,3449.47735192,0.00,10.00
2026-05-20T14:42:15.440Z,MTL/USDT,SELL,0.28700000,3449.47735192,0.00,1000.00
2026-05-20T14:42:16.425Z,BCH/USDT,BUY,366.00000000,0.40983607,0.00,850.00
2026-05-20T15:17:07.425Z,LDO/USDT,BUY,0.36290000,4120.00000000,0.00,8470.93
2026-05-20T15:17:18.510Z,LDO/USDT,SELL,0.36280000,4120.00000000,-0.41,9964.17
2026-05-20T15:36:45.236Z,SFP/USDT,BUY,0.27712933,5400.00000000,0.00,8467.67
2026-05-20T15:36:51.790Z,SUI/USDT,BUY,1.07740000,1176.00000000,0.00,7200.65
2026-05-20T15:37:02.848Z,SUI/USDT,SELL,1.07780000,1176.00000000,0.47,8466.88
2026-05-20T15:42:32.845Z,LTC/USDT,BUY,54.26000000,16.00000000,0.00,7598.72
2026-05-20T15:42:44.406Z,LTC/USDT,SELL,54.25000000,16.00000000,-0.16,8465.85
2026-05-20T15:43:58.351Z,XEC/USDT,BUY,0.00000732,174674002.00000000,0.00,7187.24
2026-05-20T15:53:48.397Z,XEC/USDT,BUY,0.00000732,147280054.00000000,0.00,6109.15
2026-05-20T15:53:59.958Z,XEC/USDT,SELL,0.00000727,147280054.00000000,-7.36,7178.80
2026-05-20T16:27:35.503Z,ANKR/USDT,BUY,0.00461000,234088.00000000,0.00,6099.66
2026-05-20T16:27:46.593Z,ANKR/USDT,SELL,0.00460000,234088.00000000,-2.35,7175.38
2026-05-20T16:59:01.715Z,LDO/USDT,BUY,0.36040000,2976.00000000,0.00,6102.83
2026-05-20T16:59:12.802Z,LDO/USDT,SELL,0.36028786,2976.00000000,-0.33,7173.98
2026-05-20T17:03:44.597Z,THETA/USDT,BUY,0.20200000,5320.00000000,0.00,6099.34
2026-05-20T17:03:55.683Z,THETA/USDT,SELL,0.20100000,5320.00000000,-5.32,7167.59
2026-05-20T17:12:29.137Z,VANRY/USDT,BUY,0.00510140,210520.00000000,0.00,6093.64
2026-05-20T17:12:40.228Z,VANRY/USDT,SELL,0.00509475,210520.00000000,-1.40,7165.12
2026-05-20T17:19:36.160Z,ACH/USDT,BUY,0.00699000,154192.00000000,0.00,6087.31
2026-05-20T17:19:47.239Z,ACH/USDT,SELL,0.00698000,154192.00000000,-1.54,7162.50
2026-05-20T17:20:30.111Z,MANTA/USDT,BUY,0.07781000,13736.00000000,0.00,6093.70
2026-05-20T17:21:16.718Z,MANTA/USDT,SELL,0.07779000,13736.00000000,-0.28,7161.15
2026-05-20T17:23:50.181Z,ANKR/USDT,BUY,0.00464000,233512.00000000,0.00,6077.66
2026-05-20T17:24:01.793Z,ANKR/USDT,SELL,0.00463000,233512.00000000,-2.34,7157.74
2026-05-20T17:24:58.604Z,LINK/USDT,BUY,9.66000000,104.00000000,0.00,6153.10
2026-05-20T17:25:44.992Z,LINK/USDT,SELL,9.65000000,104.00000000,-1.04,7155.69
2026-05-20T17:29:14.188Z,CRV/USDT,BUY,0.24080000,4448.00000000,0.00,6084.62
2026-05-20T17:29:25.730Z,CRV/USDT,SELL,0.24070000,4448.00000000,-0.45,7154.18
2026-05-20T17:29:42.239Z,RAD/USDT,BUY,0.30200000,3552.00000000,0.00,6081.48
2026-05-20T17:30:28.149Z,RAD/USDT,SELL,0.30100000,3552.00000000,-3.55,7149.56
2026-05-20T17:32:19.789Z,LDO/USDT,BUY,0.36200000,2960.00000000,0.00,6078.04
2026-05-20T17:33:05.750Z,LDO/USDT,SELL,0.36170000,2960.00000000,-0.89,7147.60
2026-05-20T17:34:06.263Z,SFP/USDT,BUY,0.28000031,3832.00000000,0.00,6074.64
2026-05-20T17:34:52.651Z,SFP/USDT,SELL,0.27960000,3832.00000000,-1.53,7144.99
2026-05-20T17:46:28.111Z,PIXEL/USDT,BUY,0.00692000,156456.00000000,0.00,6062.32
2026-05-20T17:46:39.193Z,PIXEL/USDT,SELL,0.00691000,156456.00000000,-1.57,7142.35
2026-05-20T17:47:15.542Z,SUI/USDT,BUY,1.07990000,992.00000000,0.00,6071.09
2026-05-20T17:48:02.338Z,SUI/USDT,SELL,1.07850000,992.00000000,-1.39,7139.89
2026-05-20T17:51:39.868Z,CHR/USDT,BUY,0.02212000,48264.00000000,0.00,6072.29
2026-05-20T17:52:26.251Z,CHR/USDT,SELL,0.02208000,48264.00000000,-1.93,7136.89
2026-05-20T18:25:09.868Z,SUI/USDT,BUY,1.07170000,992.00000000,0.00,6073.77
2026-05-20T18:25:55.774Z,SUI/USDT,SELL,1.06910000,992.00000000,-2.58,7133.25
2026-05-20T19:41:49.359Z,ANKR/USDT,BUY,0.00464000,2368.00000000,0.00,7122.27
2026-05-20T19:42:01.387Z,ANKR/USDT,SELL,0.00463000,2368.00000000,-0.03,7133.22
2026-05-20T19:52:08.306Z,XRP/USDT,BUY,1.37090000,8.00000000,0.00,7122.25
2026-05-20T19:52:19.391Z,XRP/USDT,SELL,1.37120000,8.00000000,0.00,7133.21
2026-05-20T19:52:36.764Z,VANRY/USDT,BUY,0.00514000,2144.00000000,0.00,7122.19
2026-05-20T19:53:23.260Z,VANRY/USDT,SELL,0.00513400,2144.00000000,-0.01,7133.19
2026-05-20T20:10:13.816Z,CRV/USDT,BUY,0.23860000,40.00000000,0.00,7123.64
2026-05-20T20:10:25.876Z,CRV/USDT,SELL,0.23860000,40.00000000,0.00,7133.18
2026-05-20T20:16:46.265Z,AVA/USDT,BUY,0.24730000,40.00000000,0.00,7123.28
2026-05-20T20:17:32.437Z,AVA/USDT,SELL,0.24730000,40.00000000,0.00,7133.17
2026-05-20T20:21:03.174Z,CRV/USDT,BUY,0.23790000,40.00000000,0.00,7123.65
2026-05-20T20:21:17.415Z,CRV/USDT,SELL,0.23790000,40.00000000,0.00,7133.16
2026-05-20T20:22:15.029Z,SFP/USDT,BUY,0.27800000,32.00000000,0.00,7124.26
2026-05-20T20:23:07.793Z,SFP/USDT,SELL,0.27770000,32.00000000,-0.01,7133.14
2026-05-21T05:59:35.385Z,SFP/USDT,BUY,0.27900000,32.00000000,0.00,7124.21
2026-05-21T05:59:48.491Z,SFP/USDT,SELL,0.27860000,32.00000000,-0.01,7133.12
2026-05-21T10:27:13.608Z,LDO/USDT,BUY,0.35490000,24.00000000,0.00,7124.60
2026-05-21T10:27:27.378Z,LDO/USDT,SELL,0.35530000,24.00000000,0.01,7133.12
2026-05-21T10:27:42.940Z,MTL/USDT,BUY,0.29200000,5256.00000000,0.00,5598.37
2026-05-21T17:09:17.079Z,ICX/USDT,BUY,0.03700000,296.00000000,0.00,5587.41
2026-05-21T17:09:30.768Z,ICX/USDT,SELL,0.03690000,296.00000000,-0.03,5598.33
2026-05-22T00:00:18.362Z,TRX/USDT,BUY,0.36540000,4592.00000000,0.00,3920.41
